,expression
101,"ta_mfi_25(ta_dema_21(bar_ofi_signed_quote_sum_w10_quantile), tan(bar_ofi_signed_quote_sum_w10_trend), TS_COV_40(bar_gof_by_volume_w10_mean, bar_gof_by_count_w10_trend), ta_minus_dm_14(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_mean))"
102,"TS_CORR_20(ta_ema_21(div(abs(bar_ofi_signed_qty_sum_w10_mean), ta_rocp_25(bar_ofi_signed_quote_sum_w10_zscore))), ta_trima_21(ts_max_20(neg(bar_ofi_signed_qty_sum_w10_std))))"
103,"ta_cci_14(ts_sma_55(TS_COV_20(ts_wma_21(bar_gof_by_volume_w10_std), ts_prod_3(bar_gof_by_count_w10_std))), ta_atr_25(ts_mean_return_20(ta_beta_10(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_quote_sum_w10_zscore)), tanh(ta_mfi_14(bar_gof_by_count_w10_std, bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_quantile)), ta_tsf_10(ta_dema_21(bar_ofi_signed_quote_sum_w10_zscore))), ta_rsi_6(bar_ofi_signed_quote_sum_w10_trend))"
104,"TA_BOP(ts_lag_3(bar_gof_by_count_w10_trend), neg(bar_ofi_signed_quote_sum_w10_trend), tanh(bar_ofi_signed_qty_sum_w10_std), ts_lag_8(bar_ofi_signed_qty_sum_w10_mean))"
105,log(ts_argrange_10(bar_ofi_signed_quote_sum_w10_std))
106,ts_kurt_10(cos(bar_gof_by_volume_w10_trend))
107,ts_argmax_10(TA_HT_DCPERIOD(ts_argmin_5(ts_argmax_5(bar_gof_by_count_w10_mean))))
108,"ta_cci_14(ta_trix_21(bar_gof_by_volume_w10_trend), ta_dema_8(bar_gof_by_count_w10_trend), TS_CORR_40(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_momentum))"
109,"ta_lr_angle_10(ta_rocr_25(ts_argrange_5(ta_atr_14(ta_dema_8(bar_ofi_signed_qty_sum_w10_trend), ts_std_20(bar_ofi_signed_qty_sum_w10_std), ta_cci_14(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_mean)))))"
110,ts_kurt_40(ts_max_20(bar_ofi_signed_quote_sum_w10_momentum))
111,"ts_delta_3(log(ts_mean_return_5(ta_lr_angle_20(TS_CORR_40(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_count_w10_mean)))))"
112,ta_dema_8(ta_tsf_5(sin(ta_lr_intercept_20(bar_ofi_signed_qty_sum_w10_mean))))
113,"tan(ta_tema_8(TS_CORR_40(TA_TRANGE(bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_std), ts_argmax_5(bar_gof_by_volume_w10_trend))))"
114,"ta_aroonosc_14(ts_rank_20(ta_tema_55(bar_gof_by_count_w10_trend)), ts_argmin_5(ts_skew_40(bar_gof_by_count_w10_mean)))"
115,"div(ts_rank_20(bar_ofi_signed_qty_sum_w10_trend), ts_rank_5(bar_gof_by_count_w10_std))"
116,ta_mom_12(ta_lr_intercept_10(ta_cmo_25(bar_gof_by_count_w10_mean)))
117,"ts_delta_17(ta_beta_10(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_volume_w10_mean))"
118,"ta_rocp_14(ta_beta_20(TS_COV_40(bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_mean), ta_lr_angle_20(bar_gof_by_count_w10_trend)))"
119,"ta_cci_14(TA_HT_DCPERIOD(ta_dema_8(ts_argrange_5(ta_lr_angle_20(bar_ofi_signed_qty_sum_w10_trend)))), ts_wma_55(bar_gof_by_count_w10_std), ts_prod_17(TS_CORR_20(ts_min_5(ta_rocr_14(bar_ofi_signed_quote_sum_w10_mean)), ta_lr_angle_5(ts_sma_21(bar_gof_by_volume_w10_trend)))))"
120,ta_trix_8(ts_max_10(bar_ofi_signed_qty_sum_w10_mean))
121,ts_range_5(ts_mean_return_10(ts_skew_20(bar_gof_by_count_w10_std)))
122,"ta_willr_25(ts_rank_5(bar_ofi_signed_quote_sum_w10_momentum), ta_beta_10(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std), ta_minus_dm_25(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_mean))"
123,ta_mom_12(sin(ts_argmax_20(sin(ta_tsf_20(bar_ofi_signed_qty_sum_w10_trend)))))
124,"ts_skew_10(ts_delta_3(min(ts_argrange_10(ts_std_20(bar_ofi_signed_quote_sum_w10_mean)), ta_cci_14(TS_CORR_20(bar_gof_by_count_w10_trend, bar_gof_by_count_w10_trend), ta_trima_21(bar_ofi_signed_quote_sum_w10_trend), ta_tsf_10(bar_gof_by_volume_w10_mean)))))"
125,"ts_rank_10(TS_COV_20(ta_lr_slope_10(ta_dx_25(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_momentum)), ta_ema_8(ts_delta_8(bar_gof_by_volume_w10_std))))"
